epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,150.668,0.33293,0.26075,0.42047,0.80537,0.98876,1,0.995,0.9463,0.98876,1,0.995,0.97968,0.29674,0.30367,0.27135,0.78555,0.0011882,0.0011882,0.0011882
43,153.946,0.31583,0.25593,0.42446,0.79492,0.99867,1,0.995,0.98699,0.99867,1,0.995,0.98255,0.23594,0.21669,0.21481,0.77404,0.0011684,0.0011684,0.0011684
44,157.264,0.32668,0.26577,0.39985,0.8014,0.9987,1,0.995,0.96592,0.9987,1,0.995,0.98483,0.2716,0.24542,0.23195,0.77532,0.0011486,0.0011486,0.0011486
45,160.515,0.30408,0.27344,0.39938,0.7964,0.99864,1,0.995,0.97393,0.99864,1,0.995,0.99036,0.24651,0.23952,0.21889,0.77318,0.0011288,0.0011288,0.0011288
46,163.904,0.30557,0.24014,0.39408,0.78929,0.99872,1,0.995,0.96847,0.99872,1,0.995,0.9845,0.26388,0.22561,0.22966,0.77586,0.001109,0.001109,0.001109
47,167.167,0.29922,0.2365,0.36685,0.80492,0.99733,1,0.995,0.97565,0.99733,1,0.995,0.99137,0.24616,0.21822,0.26002,0.77594,0.0010892,0.0010892,0.0010892
48,170.433,0.32048,0.24465,0.37809,0.81941,0.99864,1,0.995,0.97693,0.99864,1,0.995,0.99275,0.26897,0.22357,0.22247,0.77795,0.0010694,0.0010694,0.0010694
49,173.772,0.30139,0.25836,0.35804,0.80681,0.99879,1,0.995,0.97988,0.99879,1,0.995,0.995,0.23335,0.24233,0.19998,0.77355,0.0010496,0.0010496,0.0010496
50,177.119,0.32323,0.25227,0.37039,0.80139,0.9988,1,0.995,0.98637,0.9988,1,0.995,0.99211,0.26339,0.22946,0.23151,0.77594,0.0010298,0.0010298,0.0010298
51,180.479,0.31041,0.2302,0.36178,0.80434,0.99877,1,0.995,0.96964,0.99877,1,0.995,0.995,0.25587,0.21255,0.23586,0.7776,0.00101,0.00101,0.00101
